season,episode,title,airdate,rating,total_votes,description
1,1,Pilot,3/24/05,7.4,7014,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace."
1,2,Diversity Day,3/16/05,8.3,6910,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own."
1,3,Health Care,4/5/05,7.7,5761,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead."
1,4,The Alliance,4/12/05,8,5586,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors."
1,5,Basketball,4/19/05,8.4,6192,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.
1,6,Hot Girl,4/26/05,7.7,5502,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.
2,1,The Dundies,9/20/05,8.7,6198,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards."
2,2,Sexual Harassment,9/27/05,8.2,5309,The office reviews its sexual harassment policy in light of explicit e-mails.
2,3,Office Olympics,10/4/05,8.3,5260,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games."
2,4,The Fire,10/11/05,8.3,5193,A fire in the kitchen relegates the staff to the parking lot as help is on its way.
2,5,Halloween,10/18/05,8.1,4869,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party."
2,6,The Fight,11/1/05,8.1,4878,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.
2,7,The Client,11/8/05,8.6,5137,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office."
2,8,Performance Review,11/15/05,8.1,4639,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan."
2,9,E-Mail Surveillance,11/22/05,8.4,4778,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him."
2,10,Christmas Party,12/6/05,8.9,5288,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff."
2,11,Booze Cruise,1/5/06,8.6,5094,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk."
2,12,The Injury,1/12/06,9.1,6134,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury."
2,13,The Secret,1/19/06,8.2,4524,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff."
2,14,The Carpet,1/26/06,7.8,4468,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.
2,15,Boys and Girls,2/2/06,8.1,4435,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men of Dunder Mifflin down into the warehouse for some ""guy time"" with the warehouse workers. Pam is offered a chance to pursue her dreams of drawing and Roy confronts Jim about his feelings for Pam."
2,16,Valentine's Day,2/9/06,8.3,4454,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style."
2,17,Dwight's Speech,3/2/06,8.4,4743,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.
2,18,Take Your Daughter to Work Day,3/16/06,8.3,4595,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old daughter of his sworn enemy, Toby. Pam is desperate to befriend her colleagues' offspring and a misunderstanding puts Ryan under Stanley's thumb."
2,19,Michael's Birthday,3/30/06,8.1,4436,"In celebration of his birthday, Michael makes a mandatory invite of the staff during the workday to go ice skating."
2,20,Drug Testing,4/27/06,8.4,4526,Dwight plays the role of Volunteer Sheriff after finding half a joint in the Dunder Mifflin parking lot leading to an investigation. Pam gives Jim a play challenge which he tries to complete.
2,21,Conflict Resolution,5/4/06,8.7,4635,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin."
2,22,Casino Night,5/11/06,9.4,6700,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.
3,1,Gay Witch Hunt,9/21/06,9,5959,"Michael apologizes to Oscar, after he finds out he's gay, for calling him a homosexual slur--but his apology outs Oscar to the entire office. And Jim decides to take a promotion at the Stamford office."
3,2,The Convention,9/28/06,8.2,4357,"Michael and Dwight go to a convention in Philadelphia and run into Jim, and Michael becomes jealous of Jim's relationship with his new boss. Meanwhile, Pam gets ready for her first date since her engagement."
3,3,The Coup,10/5/06,8.5,4567,"Michael is in trouble once again as Jan busts him for declaring it's ""Movie Monday"" where everyone watches a movie and neglects work. Angela pushes Dwight to make a move on Michael's job while Pam and Jim find creative ways to waste time."
3,4,Grief Counseling,10/12/06,8,4373,Michael takes on the role of office grief counselor when he learns that his old boss has died.
3,5,Initiation,10/19/06,8.1,4255,Dwight takes former temp Ryan to his beet farm to initiate Ryan to his new job at Dunder Mifflin.
3,6,Diwali,11/2/06,7.9,4448,"Michael encourages the entire Scranton branch to support Kelly and attend a local celebration of Diwali, the Hindu Festival of Lights. Meanwhile, Andy convinces Jim to turn a late night of work into a drinking game."
3,7,Branch Closing,11/9/06,8.6,4375,"When Jan tells Michael that the Scranton Branch will be shutting down, Michael strives to keep his staff's spirits up. Meanwhile, everyone privately begins to envision how their lives will change in the aftermath."
3,8,The Merger,11/16/06,8.7,4564,Jan informs Michael that the Scanton branch of Dunder Mifflin will be merging with the Stamford Branch. Jim and Pam are reunited while the other employees of both branches must adjust to their new co-workers.
3,9,The Convict,11/30/06,8.3,4572,"Michael learns that one of the new employees at Dunder Mifflin Scranton has a criminal record. Meanwhile, Jim helps Andy make a move on Pam."
3,10,A Benihana Christmas,12/14/06,8.8,4799,"Trouble among the members of the party planning committee results with Pam and Karen hosting a rival Christmas party, but Michael isn't interested in celebrating after being dumped by Carol."
