,date,tweet,language,hashtags,user_id_str,username,name,hour,link,nlikes,nretweets,search,se_ep,ep,season,episode 
0,9/18/09 23:57,adriana lima megan fox free sex tape leaked:  http://tinyurl.com/celebrityleaked09 adriana lim..  http://bit.ly/3izoQ5 #TheOffice #videos,en,"['theoffice', 'videos']",75195164,TheOffice_Vids,The Office by VS,23,https://twitter.com/TheOffice_Vids/status/4091296862,0,0,#TheOffice,s6ep1,ep,6,1
1,9/18/09 23:57,The Office: Gossip: Gossip spreads throughout the workplace with the help of Michael and his ..  http://bit.ly/2VWr9Y #TheOffice #videos,en,"['theoffice', 'videos']",75195164,TheOffice_Vids,The Office by VS,23,https://twitter.com/TheOffice_Vids/status/4091295492,0,0,#TheOffice,s6ep1,ep,6,1
2,9/18/09 23:55,What were YOUR favorite quotes from The Office last night?  Check mine out and make sure you tell me yours!  #theoffice  http://bit.ly/1113sQ,en,['theoffice'],16097177,britt_duke,Brittany Duke,23,https://twitter.com/britt_duke/status/4091267630,0,0,#TheOffice,s6ep1,ep,6,1
3,9/18/09 23:51,"Jet Li, Julia Stiles, Alan Thicke Rewatching the season premiere #theoffice",en,['theoffice'],14277301,Joysonism,Joysonism,23,https://twitter.com/Joysonism/status/4091192345,0,0,#TheOffice,s6ep1,ep,6,1
4,9/18/09 23:42,@aecioneto ja assistiu #theoffice? Share ur 1st thoughts (no spoilers pls),en,['theoffice'],19066766,marcelograva,marcelo fg,23,https://twitter.com/marcelograva/status/4091031414,0,0,#TheOffice,s6ep1,ep,6,1
6,9/18/09 23:26,#SNLwu #ParksAndRecreation #community #TheOffice #30Rock  Thursday night is the very best night of television. Hands down.,en,"['snlwu', 'parksandrecreation', 'community', 'theoffice', '30rock']",42101323,MattyLusk,Matt Lusk,23,https://twitter.com/MattyLusk/status/4090721522,0,0,#TheOffice,s6ep1,ep,6,1
7,9/18/09 23:18,It's anorexia. She's an anorexitic. #theoffice,en,['theoffice'],9866242,GregLee,GregLee,23,https://twitter.com/GregLee/status/4090584528,0,0,#TheOffice,s6ep1,ep,6,1
9,9/18/09 23:14,"Someone in my building has a wifi network named 'Bears Beets Battlestar Galactica""  Amazing.  #TheOffice",en,['theoffice'],19350724,Strep,Steph Repp Kalin,23,https://twitter.com/Strep/status/4090509339,1,0,#TheOffice,s6ep1,ep,6,1
10,9/18/09 23:11,"@alliespence ugh i missed #TheOffice last night, was it good?",en,['theoffice'],26320776,MikeConn0rs,Michael Connors,23,https://twitter.com/MikeConn0rs/status/4090443088,0,0,#TheOffice,s6ep1,ep,6,1
11,9/18/09 23:08,This place is like Spaniard Fly #theoffice,en,['theoffice'],9866242,GregLee,GregLee,23,https://twitter.com/GregLee/status/4090382289,0,0,#TheOffice,s6ep1,ep,6,1
12,9/18/09 23:04,"next is the season premiere of #TBL AKA #TheBeautifulLife followed by #Community, #Parks&Rec, #VampireDiaries, #TheOffice, and #Sunny",en,"['tbl', 'thebeautifullife', 'community', 'parks', 'vampirediaries', 'theoffice', 'sunny']",16072561,thisgirltv,thisgirltv,23,https://twitter.com/thisgirltv/status/4090306986,0,0,#TheOffice,s6ep1,ep,6,1
13,9/18/09 23:02,"If I can't scuba, then what has this all been about? What am I working toward? #theoffice",en,['theoffice'],16752601,sarahkcarlson,Sarah Carlson,23,https://twitter.com/sarahkcarlson/status/4090276361,0,0,#TheOffice,s6ep1,ep,6,1
14,9/18/09 23:01,still laughing over last night's episode of #theoffice,en,['theoffice'],51741449,Schulmania,Mets Burner Account?,23,https://twitter.com/Schulmania/status/4090262413,0,0,#TheOffice,s6ep1,ep,6,1
15,9/18/09 23:00,check out my #TheOffice recap/review on IDS weekend site. if you like awesome stuff written by awesome people.  http://bit.ly/34L5Z4,en,['theoffice'],28064235,lucheezy,adam lukach 🚮,23,https://twitter.com/lucheezy/status/4090237796,0,0,#TheOffice,s6ep1,ep,6,1
