,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,se_ep
0,117387640688480258,117387640688480258,1316822369000.0,2011-09-23 23:59:29,+0000,,Miss u too. Maybe lunch sometime.  http://t.co/3BUpMjfZ #theoffice @HerDeepThoughts enjoy!,en,['theoffice'],[],67100041,67100041,RachlWhite,Rachlwhite,5,23,https://twitter.com/RachlWhite/status/117387640688480258,['http://www.nbc.com/The_Office/video/the-secret-of-planking/1358062/'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
1,117387571092398080,117387571092398080,1316822352000.0,2011-09-23 23:59:12,+0000,,this explains so much  http://t.co/DfUh3gQl #theoffice,en,['theoffice'],[],21952313,21952313,bbmolls,Baby Molly,5,23,https://twitter.com/bbmolls/status/117387571092398080,['http://bit.ly/nhwCwd'],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
2,117387476254982144,117387476254982144,1316822329000.0,2011-09-23 23:58:49,+0000,,Robert California. That name is actually even cooler than mine. #theoffice,en,['theoffice'],[],282365314,282365314,DexterD_,Your Favorite Social Scientist,5,23,https://twitter.com/DexterD_/status/117387476254982144,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep1
3,117387418109358080,117387418109358080,1316822316000.0,2011-09-23 23:58:36,+0000,,"#theoffice has gone from funny, intelligent and realistic to hilarious, out of control, and unrealistic. However, Still a great show.",en,['theoffice'],[],44301885,44301885,Tuckerkaas,Tucker Kaas,5,23,https://twitter.com/Tuckerkaas/status/117387418109358080,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
4,117387189612068866,117387189612068866,1316822261000.0,2011-09-23 23:57:41,+0000,,"Dwight Schrute is the coolest, and the only relationship better than Jim and Pam is Michael and Jan. #theoffice",en,['theoffice'],[],298755343,298755343,spazzing_4_ever,Oops! All Horny,5,23,https://twitter.com/spazzing_4_ever/status/117387189612068866,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep1
5,117386860749271041,117386860749271041,1316822183000.0,2011-09-23 23:56:23,+0000,,awww… dissapointed with the new manager in #theoffice,en,['theoffice'],[],132005705,132005705,Kieran_Lafferty,Kieran Lafferty,5,23,https://twitter.com/Kieran_Lafferty/status/117386860749271041,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
6,117386575544991744,117371663653408768,1316822115000.0,2011-09-23 23:55:15,+0000,,"@rainnwilson loved #theoffice last night, dwight & fire extinguisher bit kept me laughing for 20 minutes!",en,['theoffice'],[],1581481,1581481,DanielWConsults,daniel white (he/him),5,23,https://twitter.com/DanielWConsults/status/117386575544991744,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
7,117386369210384384,117386369210384384,1316822066000.0,2011-09-23 23:54:26,+0000,"{'type': 'Point', 'coordinates': [33.49239617, -112.07174509]}",Can't wait to start watching #theoffice again!,en,['theoffice'],[],203218876,203218876,ryansreview,Ryan M,5,23,https://twitter.com/ryansreview/status/117386369210384384,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
8,117386331142893570,117386331142893570,1316822056000.0,2011-09-23 23:54:16,+0000,,I must say that I like the way Dwight deals with plankers. #theoffice,en,['theoffice'],[],193163643,193163643,timjbourne,Tim Bourne,5,23,https://twitter.com/timjbourne/status/117386331142893570,[],[],0,,False,0,0,0,,#TheOffice,,,,,,,[],,,,,s8ep1
9,117386035381538816,117386035381538816,1316821986000.0,2011-09-23 23:53:06,+0000,,@imperviousD @Devils_SweetTea im watchin the season premiere of #theoffice now on nbc.com. Im only 3 mins into it and im dyin already lmfao,en,['theoffice'],[],282365314,282365314,DexterD_,Your Favorite Social Scientist,5,23,https://twitter.com/DexterD_/status/117386035381538816,[],[],0,,False,0,1,0,,#TheOffice,,,,,,,[],,,,,s8ep1
