season,episode,desc
1,1,"A documentary crew arrives at the Scranton, Pennsylvania, offices of Dunder Mifflin to observe the employees and learn about modern management. Regional manager Michael Scott (Steve Carell) tries to paint a happy picture in the face of potential downsizing from corporate. The office also gets new employee Ryan Howard  (B. J. Novak) as a temporary worker, while salesman Jim Halpert (John Krasinski) pranks and antagonizes fellow salesman Dwight Schrute (Rainn Wilson), much to the enjoyment of receptionist Pam Beesly (Jenna Fischer)."
1,2,"Michael's controversial imitation of a Chris Rock routine forces the staff to undergo a racial diversity seminar. A consultant (guest star Larry Wilmore) arrives to teach the staff about tolerance and diversity, but Michael insists on imparting his own knowledge, aggravating both the consultant and the entire office staff, and creates his own diversity seminar. He eventually assigns each staff member an index card with a different race on it, causing tempers to slowly simmer until they finally snap. Meanwhile, Jim struggles to keep hold of a lucrative contract extension, but Dwight makes the sale for himself. Nevertheless, when Pam falls asleep on Jim's shoulder at the end of the meeting, he concludes that it was ""not a bad day."""
1,3,"In an effort to save money to prevent downsizing, Michael puts Dwight in charge of choosing the company's new health care plan.  Dwight's chosen plan slashes benefits, much to the chagrin of the other employees.  In an attempt to appease them, Michael promises the entire office a surprise, and then spends the rest of the day scrambling to come through with his promise. The employees wait for Michael's surprise, which he awkwardly never delivers. Meanwhile, Jim and Pam amuse themselves with Dwight's medical forms."
1,4,"As downsizing rumors swirl, paranoia takes over the members of the office. Dwight forms a ""Survivor""-esque alliance with Jim against the other employees—later adding Pam also. Meanwhile, Michael arranges a morale-boosting birthday party for Supplier Relations representative Meredith Palmer (Kate Flannery), although her birthday is more than a month away. Michael agonizes over writing the perfect greeting in her birthday card, and in the end, his joke (and subsequent rejected ones) falls flat, ruining the party."
1,5,"Michael and the office staff take on the workers in the warehouse in a basketball game. Through racist and sexist ideals, Michael chooses many of the lesser skilled office workers over their more athletic peers. Michael claims a ""flagrant personal intentional foul,"" stops the game, and declares his team as the winners. The warehouse finds the call unfair and Michael caves under pressure, and concedes the victory to the warehouse staff. Michael eventually tells the office that they don't have to come in on Saturday either, but it does little to calm them: ""Like coming in an extra day is going to prevent us from being downsized."""
1,6,"When an attractive purse saleswoman named Katy (Amy Adams) comes to the office, Michael and Dwight openly vie for her attention.  Meanwhile, the corporate office allocates $1,000 as a prize for the top office salesman, but Michael spends the money on an espresso machine, trying to impress Katy. However, in the end she leaves with Jim, devastating both Michael and Dwight."
2,1,"Michael Scott, regional manager of Dunder Mifflin, announces that it is time for the annual Dundie Awards that the employees loathe due to the insulting awards Michael bestows on them. At the awards, receptionist Pam Beesly tells off her fiancé Roy Anderson, one of the warehouse workers, when he insists they leave, and she later gets drunk. Michael becomes the bumbling emcee and bestows the regularly embarrassing awards on them."
2,2,"Corporate headquarters orders Human Resources representative Toby Flenderson to conduct a review at the Scranton branch of the company's sexual harassment policies. The company also sends a lawyer to Scranton. Michael fears that this will hinder his ability to keep an ""easy-going office,"" but later realizes that the lawyer was sent to protect him."
2,3,"Michael and salesman Dwight Schrute leave to close a deal on Michael's new condominium. Michael meets with his realtor Carole Stills, but becomes stressed when he realizes how long it will take to pay off his condo.  Boredom leads receptionist Pam and salesman Jim Halpert to create the office olympics, in which their co-workers compete in various games using office supplies. Michael and Dwight's return stops the event, but Jim gives the gold medal to Michael for closing the purchase of his condo."
2,4,"A fire in the office leads the employees to evacuate the building. To pass the time, the employees play games and learn more about each other. Jim is revealed to be dating handbag saleswoman Katy Moore, something Pam seems bothered by. Meanwhile, Michael tries to mentor temporary worker Ryan Howard, but discovers that Ryan is more educated than he is. Dwight becomes jealous of the attention that Michael is giving Ryan. At the end of the day, it is determined that Ryan accidentally caused the fire, and Dwight is thrilled."
